# TEST CONFIGURATION BEGIN
# FileStream(filename='airlines.csv', target_idx=-1, n_targets=1, cat_features=None)
# [ensemble 512] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=512, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 512] Adaptive4(learning_rate=0.2, max_depth=6, max_window_size=512, min_window_size=1)
# [ensemble 1024] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1024, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 1024] Adaptive4(learning_rate=0.2, max_depth=6, max_window_size=1024, min_window_size=1)
# [ensemble 2048] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=2048, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 2048] Adaptive4(learning_rate=0.2, max_depth=6, max_window_size=2048, min_window_size=1)
# [ensemble 4096] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=4096, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 4096] Adaptive4(learning_rate=0.2, max_depth=6, max_window_size=4096, min_window_size=1)
# [ensemble 8192] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=8192, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 8192] Adaptive4(learning_rate=0.2, max_depth=6, max_window_size=8192, min_window_size=1)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['accuracy', 'running_time'], n_wait=200, output_file='mwindow_airlines.txt', pretrain_size=100000, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_acc_[ensemble 512],current_acc_[ensemble 512],mean_acc_[incremental 512],current_acc_[incremental 512],mean_acc_[ensemble 1024],current_acc_[ensemble 1024],mean_acc_[incremental 1024],current_acc_[incremental 1024],mean_acc_[ensemble 2048],current_acc_[ensemble 2048],mean_acc_[incremental 2048],current_acc_[incremental 2048],mean_acc_[ensemble 4096],current_acc_[ensemble 4096],mean_acc_[incremental 4096],current_acc_[incremental 4096],mean_acc_[ensemble 8192],current_acc_[ensemble 8192],mean_acc_[incremental 8192],current_acc_[incremental 8192],training_time_[ensemble 512],testing_time_[ensemble 512],total_running_time_[ensemble 512],training_time_[incremental 512],testing_time_[incremental 512],total_running_time_[incremental 512],training_time_[ensemble 1024],testing_time_[ensemble 1024],total_running_time_[ensemble 1024],training_time_[incremental 1024],testing_time_[incremental 1024],total_running_time_[incremental 1024],training_time_[ensemble 2048],testing_time_[ensemble 2048],total_running_time_[ensemble 2048],training_time_[incremental 2048],testing_time_[incremental 2048],total_running_time_[incremental 2048],training_time_[ensemble 4096],testing_time_[ensemble 4096],total_running_time_[ensemble 4096],training_time_[incremental 4096],testing_time_[incremental 4096],total_running_time_[incremental 4096],training_time_[ensemble 8192],testing_time_[ensemble 8192],total_running_time_[ensemble 8192],training_time_[incremental 8192],testing_time_[incremental 8192],total_running_time_[incremental 8192]
100010,0.454545,0.454545,0.545455,0.545455,0.454545,0.454545,0.545455,0.545455,0.454545,0.454545,0.363636,0.363636,0.454545,0.454545,0.454545,0.454545,0.454545,0.454545,0.454545,0.454545,1.720735,0.015126,1.735860,11.735518,0.001268,11.736786,1.369335,0.013651,1.382986,4.716771,0.001057,4.717828,1.309997,0.013475,1.323473,2.409980,0.000973,2.410953,1.388698,0.014307,1.403005,1.783462,0.000919,1.784381,1.840619,0.011075,1.851694,2.007568,0.000880,2.008448
100011,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.583333,0.583333,0.500000,0.500000,0.333333,0.333333,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.720752,0.016328,1.737080,11.735528,0.001370,11.736898,1.369349,0.014803,1.384151,4.716783,0.001140,4.717923,1.310012,0.014632,1.324644,2.409994,0.001052,2.411046,1.388712,0.015439,1.404151,1.783476,0.000992,1.784468,1.840632,0.012007,1.852640,2.007583,0.000950,2.008533
100012,0.461538,0.461538,0.461538,0.461538,0.461538,0.461538,0.538462,0.538462,0.461538,0.461538,0.307692,0.307692,0.461538,0.461538,0.461538,0.461538,0.461538,0.461538,0.461538,0.461538,1.720771,0.017536,1.738307,11.735540,0.001465,11.737005,1.369368,0.015946,1.385314,4.716796,0.001220,4.718016,1.310030,0.015767,1.325796,2.410010,0.001126,2.411137,1.388727,0.016770,1.405496,1.783491,0.001076,1.784567,1.840648,0.013028,1.853676,2.007598,0.001028,2.008626
100013,0.428571,0.428571,0.428571,0.428571,0.428571,0.428571,0.571429,0.571429,0.428571,0.428571,0.357143,0.357143,0.428571,0.428571,0.428571,0.428571,0.500000,0.500000,0.500000,0.500000,1.720797,0.019349,1.740147,11.735554,0.001623,11.737177,1.369390,0.017637,1.387027,4.716811,0.001334,4.718145,1.310052,0.017248,1.327299,2.410036,0.001228,2.411265,1.388747,0.018220,1.406967,1.783508,0.001169,1.784677,1.840666,0.014307,1.854974,2.007615,0.001132,2.008747
100014,0.400000,0.400000,0.466667,0.466667,0.466667,0.466667,0.600000,0.600000,0.466667,0.466667,0.400000,0.400000,0.466667,0.466667,0.466667,0.466667,0.533333,0.533333,0.533333,0.533333,1.720822,0.020663,1.741485,11.735567,0.001745,11.737313,1.369411,0.019066,1.388477,4.716845,0.001458,4.718303,1.310073,0.018930,1.329003,2.410056,0.001330,2.411386,1.388764,0.019702,1.408466,1.783531,0.001259,1.784790,1.840684,0.015445,1.856129,2.007632,0.001215,2.008847
100015,0.375000,0.375000,0.437500,0.437500,0.437500,0.437500,0.562500,0.562500,0.437500,0.437500,0.375000,0.375000,0.437500,0.437500,0.437500,0.437500,0.500000,0.500000,0.500000,0.500000,1.720843,0.021909,1.742752,11.735579,0.001862,11.737441,1.369429,0.020229,1.389658,4.716858,0.001549,4.718407,1.310091,0.020086,1.330178,2.410075,0.001416,2.411491,1.388783,0.020865,1.409648,1.783549,0.001338,1.784886,1.840703,0.016387,1.857090,2.007649,0.001289,2.008938
100016,0.411765,0.411765,0.411765,0.411765,0.411765,0.411765,0.529412,0.529412,0.470588,0.470588,0.411765,0.411765,0.470588,0.470588,0.470588,0.470588,0.529412,0.529412,0.529412,0.529412,1.720863,0.023123,1.743986,11.735591,0.001992,11.737583,1.369446,0.021599,1.391045,4.716871,0.001654,4.718525,1.310110,0.021272,1.331382,2.410093,0.001500,2.411593,1.388800,0.022039,1.410839,1.783565,0.001416,1.784981,1.840720,0.017333,1.858053,2.007669,0.001380,2.009049
100017,0.444444,0.444444,0.444444,0.444444,0.388889,0.388889,0.555556,0.555556,0.444444,0.444444,0.388889,0.388889,0.500000,0.500000,0.500000,0.500000,0.555556,0.555556,0.555556,0.555556,1.720882,0.024377,1.745259,11.735603,0.002109,11.737711,1.369463,0.022765,1.392228,4.716884,0.001745,4.718629,1.310128,0.022452,1.332580,2.410115,0.001580,2.411695,1.388819,0.023204,1.412024,1.783581,0.001492,1.785072,1.840736,0.018278,1.859014,2.007685,0.001453,2.009138
100018,0.421053,0.421053,0.473684,0.473684,0.421053,0.421053,0.526316,0.526316,0.421053,0.421053,0.368421,0.368421,0.473684,0.473684,0.473684,0.473684,0.526316,0.526316,0.526316,0.526316,1.720900,0.025614,1.746514,11.735613,0.002214,11.737827,1.369478,0.023933,1.393411,4.716896,0.001835,4.718731,1.310145,0.023629,1.333774,2.410131,0.001657,2.411789,1.388838,0.024382,1.413220,1.783597,0.001567,1.785163,1.840751,0.019231,1.859982,2.007700,0.001525,2.009224
100019,0.450000,0.450000,0.450000,0.450000,0.400000,0.400000,0.550000,0.550000,0.450000,0.450000,0.400000,0.400000,0.450000,0.450000,0.450000,0.450000,0.550000,0.550000,0.550000,0.550000,1.720926,0.027055,1.747981,11.735639,0.002336,11.737974,1.369499,0.025266,1.394765,4.716911,0.001940,4.718851,1.310166,0.024986,1.335152,2.410151,0.001744,2.411895,1.388861,0.025677,1.414538,1.783615,0.001648,1.785263,1.840768,0.020275,1.861043,2.007719,0.001603,2.009322
