# TEST CONFIGURATION BEGIN
# FileStream(filename='airlines.csv', target_idx=-1, n_targets=1, cat_features=None)
# [ensemble 5] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=5, update_strategy='replace')
# [ensemble 10] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=10, update_strategy='replace')
# [ensemble 25] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=25, update_strategy='replace')
# [ensemble 50] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=50, update_strategy='replace')
# [ensemble 100] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=100, update_strategy='replace')
# [incremental] Adaptive4(learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['accuracy', 'running_time'], n_wait=200, output_file='ensemblesize_airlines.txt', pretrain_size=100000, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_acc_[ensemble 5],current_acc_[ensemble 5],mean_acc_[ensemble 10],current_acc_[ensemble 10],mean_acc_[ensemble 25],current_acc_[ensemble 25],mean_acc_[ensemble 50],current_acc_[ensemble 50],mean_acc_[ensemble 100],current_acc_[ensemble 100],mean_acc_[incremental],current_acc_[incremental],training_time_[ensemble 5],testing_time_[ensemble 5],total_running_time_[ensemble 5],training_time_[ensemble 10],testing_time_[ensemble 10],total_running_time_[ensemble 10],training_time_[ensemble 25],testing_time_[ensemble 25],total_running_time_[ensemble 25],training_time_[ensemble 50],testing_time_[ensemble 50],total_running_time_[ensemble 50],training_time_[ensemble 100],testing_time_[ensemble 100],total_running_time_[ensemble 100],training_time_[incremental],testing_time_[incremental],total_running_time_[incremental]
100014,0.466667,0.466667,0.466667,0.466667,0.533333,0.533333,0.466667,0.466667,0.466667,0.466667,0.466667,0.466667,1.295381,0.006170,1.301550,1.238059,0.007715,1.245774,1.337871,0.017484,1.355355,1.309240,0.032816,1.342057,1.426271,0.063780,1.490051,4.627354,0.001715,4.629069
100015,0.437500,0.437500,0.437500,0.437500,0.500000,0.500000,0.437500,0.437500,0.437500,0.437500,0.437500,0.437500,1.295414,0.006510,1.301924,1.238074,0.008158,1.246231,1.337884,0.018451,1.356336,1.309254,0.034814,1.344068,1.426284,0.068397,1.494681,4.627369,0.001824,4.629193
100016,0.411765,0.411765,0.470588,0.470588,0.529412,0.529412,0.470588,0.470588,0.470588,0.470588,0.470588,0.470588,1.295444,0.006810,1.302254,1.238090,0.008591,1.246681,1.337900,0.019654,1.357554,1.309268,0.036877,1.346145,1.426298,0.072519,1.498817,4.627384,0.001943,4.629328
100017,0.444444,0.444444,0.444444,0.444444,0.500000,0.500000,0.444444,0.444444,0.500000,0.500000,0.500000,0.500000,1.295475,0.007124,1.302599,1.238106,0.009026,1.247132,1.337914,0.020692,1.358606,1.309282,0.038778,1.348061,1.426312,0.076601,1.502913,4.627399,0.002055,4.629455
100018,0.421053,0.421053,0.421053,0.421053,0.473684,0.473684,0.421053,0.421053,0.473684,0.473684,0.473684,0.473684,1.295501,0.007445,1.302946,1.238120,0.009526,1.247647,1.337927,0.021678,1.359606,1.309294,0.040791,1.350085,1.426324,0.080904,1.507228,4.627412,0.002182,4.629594
100019,0.450000,0.450000,0.450000,0.450000,0.500000,0.500000,0.400000,0.400000,0.500000,0.500000,0.500000,0.500000,1.295536,0.007858,1.303393,1.238136,0.009998,1.248134,1.337941,0.022763,1.360704,1.309307,0.042853,1.352160,1.426336,0.084834,1.511170,4.627427,0.002289,4.629716
100020,0.428571,0.428571,0.428571,0.428571,0.476190,0.476190,0.428571,0.428571,0.476190,0.476190,0.476190,0.476190,1.295575,0.008213,1.303788,1.238153,0.010491,1.248645,1.337954,0.023766,1.361720,1.309320,0.044952,1.354272,1.426349,0.089300,1.515649,4.627442,0.002426,4.629868
100021,0.409091,0.409091,0.454545,0.454545,0.500000,0.500000,0.454545,0.454545,0.500000,0.500000,0.454545,0.454545,1.295608,0.008551,1.304159,1.238170,0.010947,1.249117,1.337970,0.024930,1.362900,1.309335,0.047244,1.356579,1.426363,0.093964,1.520327,4.627457,0.002544,4.630002
100022,0.391304,0.391304,0.434783,0.434783,0.478261,0.478261,0.434783,0.434783,0.521739,0.521739,0.478261,0.478261,1.299888,0.008872,1.308760,1.243210,0.011713,1.254923,1.343440,0.026419,1.369860,1.314219,0.049872,1.364091,1.431447,0.098824,1.530270,4.698691,0.002659,4.701350
100023,0.416667,0.416667,0.458333,0.458333,0.500000,0.500000,0.458333,0.458333,0.541667,0.541667,0.500000,0.500000,1.299911,0.009625,1.309535,1.243232,0.013092,1.256324,1.343450,0.028939,1.372389,1.314227,0.053107,1.367334,1.431454,0.104276,1.535730,4.698700,0.002807,4.701507
100024,0.440000,0.440000,0.440000,0.440000,0.480000,0.480000,0.440000,0.440000,0.560000,0.560000,0.520000,0.520000,1.299931,0.009930,1.309861,1.243241,0.013540,1.256781,1.343457,0.030895,1.374352,1.314234,0.056143,1.370377,1.431460,0.108411,1.539871,4.698708,0.002914,4.701623
100025,0.461538,0.461538,0.461538,0.461538,0.500000,0.500000,0.423077,0.423077,0.576923,0.576923,0.538462,0.538462,1.299954,0.010574,1.310528,1.243251,0.014384,1.257635,1.343466,0.032591,1.376057,1.314242,0.058280,1.372522,1.431468,0.112610,1.544078,4.698718,0.003027,4.701744
100026,0.481481,0.481481,0.481481,0.481481,0.518519,0.518519,0.407407,0.407407,0.592593,0.592593,0.555556,0.555556,1.299975,0.010955,1.310930,1.243262,0.014836,1.258098,1.343475,0.033562,1.377037,1.314251,0.060334,1.374585,1.431476,0.118105,1.549581,4.698728,0.003148,4.701876
100027,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.428571,0.428571,0.607143,0.607143,0.571429,0.571429,1.299998,0.011243,1.311241,1.243273,0.015261,1.258534,1.343485,0.034566,1.378051,1.314260,0.062259,1.376519,1.431485,0.122675,1.554160,4.698738,0.003290,4.702028
100028,0.482759,0.482759,0.517241,0.517241,0.482759,0.482759,0.448276,0.448276,0.586207,0.586207,0.586207,0.586207,1.300019,0.011678,1.311697,1.243282,0.015719,1.259002,1.343492,0.035580,1.379072,1.314267,0.064190,1.378457,1.431491,0.127090,1.558581,4.698747,0.003400,4.702147
100029,0.466667,0.466667,0.500000,0.500000,0.466667,0.466667,0.433333,0.433333,0.566667,0.566667,0.566667,0.566667,1.300039,0.011983,1.312023,1.243292,0.016152,1.259444,1.343501,0.036557,1.380058,1.314275,0.066525,1.380800,1.431499,0.131887,1.563386,4.698757,0.003535,4.702292
100030,0.451613,0.451613,0.483871,0.483871,0.451613,0.451613,0.419355,0.419355,0.548387,0.548387,0.548387,0.548387,1.300062,0.012278,1.312340,1.243304,0.016581,1.259885,1.343510,0.037702,1.381212,1.314283,0.068719,1.383002,1.431508,0.136660,1.568168,4.698766,0.003734,4.702501
100031,0.437500,0.437500,0.468750,0.468750,0.437500,0.437500,0.406250,0.406250,0.531250,0.531250,0.531250,0.531250,1.300084,0.012782,1.312866,1.243315,0.017355,1.260670,1.343519,0.039168,1.382686,1.314292,0.070890,1.385182,1.431517,0.141172,1.572689,4.698776,0.003857,4.702633
100032,0.424242,0.424242,0.454545,0.454545,0.424242,0.424242,0.393939,0.393939,0.515152,0.515152,0.515152,0.515152,1.300106,0.013069,1.313175,1.243324,0.017786,1.261110,1.343526,0.040244,1.383770,1.314300,0.072963,1.387263,1.431524,0.146328,1.577852,4.698785,0.003974,4.702759
100033,0.441176,0.441176,0.470588,0.470588,0.411765,0.411765,0.411765,0.411765,0.500000,0.500000,0.500000,0.500000,1.300130,0.013361,1.313490,1.243335,0.018261,1.261596,1.343534,0.041228,1.384763,1.314312,0.075192,1.389504,1.431531,0.150668,1.582199,4.698794,0.004123,4.702918
100034,0.428571,0.428571,0.457143,0.457143,0.400000,0.400000,0.400000,0.400000,0.485714,0.485714,0.485714,0.485714,1.300150,0.013831,1.313981,1.243345,0.018712,1.262057,1.343542,0.042204,1.385747,1.314319,0.077445,1.391764,1.431539,0.155068,1.586607,4.698803,0.004247,4.703050
100035,0.444444,0.444444,0.472222,0.472222,0.416667,0.416667,0.416667,0.416667,0.500000,0.500000,0.500000,0.500000,1.300171,0.014123,1.314294,1.243355,0.019147,1.262502,1.343551,0.043194,1.386745,1.314327,0.079793,1.394121,1.431547,0.160181,1.591728,4.698817,0.004381,4.703197
100036,0.459459,0.459459,0.459459,0.459459,0.432432,0.432432,0.405405,0.405405,0.486486,0.486486,0.513514,0.513514,1.300190,0.014447,1.314636,1.243365,0.019640,1.263005,1.343559,0.044285,1.387844,1.314334,0.081972,1.396306,1.431555,0.164028,1.595583,4.698830,0.004484,4.703314
100037,0.447368,0.447368,0.473684,0.473684,0.447368,0.447368,0.421053,0.421053,0.500000,0.500000,0.526316,0.526316,1.300212,0.015165,1.315377,1.243377,0.020325,1.263702,1.343568,0.045693,1.389260,1.314343,0.084129,1.398472,1.431563,0.168463,1.600026,4.698839,0.004603,4.703442
100038,0.435897,0.435897,0.461538,0.461538,0.435897,0.435897,0.410256,0.410256,0.512821,0.512821,0.538462,0.538462,1.300234,0.015464,1.315698,1.243388,0.020878,1.264266,1.343577,0.046824,1.390401,1.314352,0.086389,1.400741,1.431572,0.173719,1.605290,4.698849,0.004741,4.703590
100039,0.425000,0.425000,0.450000,0.450000,0.425000,0.425000,0.400000,0.400000,0.525000,0.525000,0.525000,0.525000,1.300254,0.015762,1.316016,1.243399,0.021327,1.264726,1.343586,0.047897,1.391483,1.314360,0.088314,1.402674,1.431580,0.178238,1.609817,4.698863,0.004867,4.703730
100040,0.414634,0.414634,0.439024,0.439024,0.439024,0.439024,0.390244,0.390244,0.536585,0.536585,0.512195,0.512195,1.300275,0.016221,1.316497,1.243410,0.021932,1.265342,1.343596,0.049083,1.392678,1.314369,0.090291,1.404660,1.431588,0.183008,1.614596,4.698874,0.004985,4.703859
100041,0.428571,0.428571,0.452381,0.452381,0.452381,0.452381,0.404762,0.404762,0.547619,0.547619,0.523810,0.523810,1.300297,0.016535,1.316833,1.243419,0.022415,1.265834,1.343603,0.050178,1.393781,1.314376,0.092738,1.407114,1.431595,0.187720,1.619315,4.698882,0.005102,4.703984
100042,0.418605,0.418605,0.441860,0.441860,0.465116,0.465116,0.395349,0.395349,0.558140,0.558140,0.534884,0.534884,1.300317,0.016866,1.317183,1.243429,0.022970,1.266399,1.343611,0.051175,1.394786,1.314383,0.095048,1.409431,1.431602,0.191865,1.623467,4.698891,0.005203,4.704094
100043,0.431818,0.431818,0.454545,0.454545,0.454545,0.454545,0.386364,0.386364,0.545455,0.545455,0.522727,0.522727,1.300339,0.017296,1.317635,1.243439,0.023412,1.266851,1.343619,0.052162,1.395781,1.314390,0.096968,1.411358,1.431609,0.195923,1.627532,4.698900,0.005308,4.704208
100044,0.422222,0.422222,0.466667,0.466667,0.466667,0.466667,0.377778,0.377778,0.533333,0.533333,0.511111,0.511111,1.300358,0.017585,1.317943,1.243449,0.023827,1.267276,1.343628,0.053113,1.396741,1.314399,0.099198,1.413597,1.431618,0.200193,1.631812,4.698909,0.005414,4.704324
100045,0.413043,0.413043,0.478261,0.478261,0.478261,0.478261,0.391304,0.391304,0.521739,0.521739,0.521739,0.521739,1.300378,0.017901,1.318279,1.243458,0.024305,1.267763,1.343636,0.054260,1.397896,1.314406,0.101333,1.415738,1.431626,0.204158,1.635783,4.698922,0.005509,4.704431
100046,0.404255,0.404255,0.468085,0.468085,0.468085,0.468085,0.382979,0.382979,0.510638,0.510638,0.531915,0.531915,1.300395,0.018183,1.318577,1.243467,0.024728,1.268195,1.343643,0.055225,1.398868,1.314413,0.103195,1.417608,1.431633,0.208315,1.639948,4.698930,0.005600,4.704530
100047,0.416667,0.416667,0.479167,0.479167,0.479167,0.479167,0.395833,0.395833,0.520833,0.520833,0.541667,0.541667,1.300411,0.018471,1.318883,1.243476,0.025195,1.268671,1.343650,0.056206,1.399856,1.314421,0.105070,1.419490,1.431640,0.212127,1.643767,4.698938,0.005692,4.704631
100048,0.428571,0.428571,0.489796,0.489796,0.469388,0.469388,0.408163,0.408163,0.530612,0.530612,0.551020,0.551020,1.300428,0.018766,1.319195,1.243485,0.025622,1.269106,1.343658,0.057173,1.400831,1.314428,0.106940,1.421367,1.431647,0.215930,1.647577,4.698946,0.005786,4.704732
100049,0.440000,0.440000,0.500000,0.500000,0.480000,0.480000,0.420000,0.420000,0.540000,0.540000,0.560000,0.560000,1.300452,0.019250,1.319702,1.243495,0.026076,1.269571,1.343665,0.058358,1.402023,1.314435,0.108870,1.423306,1.431655,0.220424,1.652079,4.698955,0.005904,4.704859
100050,0.450980,0.450980,0.509804,0.509804,0.490196,0.490196,0.431373,0.431373,0.549020,0.549020,0.568627,0.568627,1.300471,0.019651,1.320122,1.243504,0.026678,1.270182,1.343673,0.059474,1.403148,1.314443,0.110946,1.425389,1.431662,0.224370,1.656032,4.698964,0.006005,4.704968
100051,0.461538,0.461538,0.519231,0.519231,0.500000,0.500000,0.442308,0.442308,0.557692,0.557692,0.576923,0.576923,1.300493,0.019973,1.320465,1.243514,0.027193,1.270707,1.343682,0.060588,1.404270,1.314451,0.113146,1.427597,1.431670,0.228324,1.659994,4.698973,0.006131,4.705104
100052,0.452830,0.452830,0.509434,0.509434,0.490566,0.490566,0.433962,0.433962,0.566038,0.566038,0.584906,0.584906,1.300512,0.020370,1.320882,1.243525,0.027709,1.271234,1.343692,0.061610,1.405302,1.314460,0.115146,1.429606,1.431679,0.232361,1.664040,4.698984,0.006231,4.705215
100053,0.444444,0.444444,0.500000,0.500000,0.481481,0.481481,0.425926,0.425926,0.555556,0.555556,0.574074,0.574074,1.300532,0.020740,1.321272,1.243534,0.028278,1.271812,1.343700,0.062824,1.406525,1.314469,0.117109,1.431578,1.431687,0.236496,1.668183,4.698993,0.006344,4.705337
100054,0.454545,0.454545,0.490909,0.490909,0.490909,0.490909,0.418182,0.418182,0.563636,0.563636,0.563636,0.563636,1.300551,0.021063,1.321613,1.243545,0.028783,1.272328,1.343713,0.063975,1.407688,1.314477,0.119221,1.433698,1.431696,0.240752,1.672448,4.699003,0.006457,4.705461
100055,0.446429,0.446429,0.500000,0.500000,0.500000,0.500000,0.428571,0.428571,0.571429,0.571429,0.571429,0.571429,1.300578,0.021462,1.322040,1.243557,0.029215,1.272771,1.343723,0.065254,1.408976,1.314486,0.121716,1.436203,1.431705,0.245167,1.676872,4.699014,0.006567,4.705581
100056,0.456140,0.456140,0.508772,0.508772,0.508772,0.508772,0.421053,0.421053,0.578947,0.578947,0.578947,0.578947,1.300599,0.021970,1.322568,1.243566,0.029824,1.273390,1.343731,0.066348,1.410078,1.314494,0.123752,1.438246,1.431712,0.249276,1.680988,4.699022,0.006669,4.705691
100057,0.465517,0.465517,0.517241,0.517241,0.517241,0.517241,0.431034,0.431034,0.586207,0.586207,0.586207,0.586207,1.300620,0.022298,1.322918,1.243576,0.030609,1.274185,1.343738,0.067785,1.411524,1.314501,0.125733,1.440234,1.431719,0.253057,1.684776,4.699032,0.006773,4.705804
100058,0.457627,0.457627,0.525424,0.525424,0.508475,0.508475,0.423729,0.423729,0.576271,0.576271,0.576271,0.576271,1.300640,0.022695,1.323335,1.243585,0.031211,1.274797,1.343746,0.068940,1.412686,1.314509,0.127909,1.442418,1.431727,0.257072,1.688798,4.699041,0.006876,4.705918
100059,0.450000,0.450000,0.516667,0.516667,0.500000,0.500000,0.416667,0.416667,0.566667,0.566667,0.566667,0.566667,1.300660,0.022988,1.323647,1.243596,0.031647,1.275243,1.343755,0.070162,1.413917,1.314517,0.129807,1.444324,1.431735,0.261529,1.693264,4.699051,0.006980,4.706031
100060,0.459016,0.459016,0.524590,0.524590,0.508197,0.508197,0.426230,0.426230,0.573770,0.573770,0.573770,0.573770,1.300678,0.023285,1.323963,1.243606,0.032100,1.275707,1.343764,0.071167,1.414931,1.314526,0.131974,1.446500,1.431743,0.265813,1.697556,4.699060,0.007093,4.706153
100061,0.467742,0.467742,0.532258,0.532258,0.516129,0.516129,0.435484,0.435484,0.564516,0.564516,0.564516,0.564516,1.300704,0.023973,1.324678,1.243616,0.032964,1.276580,1.343773,0.073041,1.416814,1.314533,0.135315,1.449848,1.431750,0.270957,1.702708,4.699073,0.007223,4.706296
100062,0.460317,0.460317,0.523810,0.523810,0.507937,0.507937,0.428571,0.428571,0.555556,0.555556,0.555556,0.555556,1.300725,0.024356,1.325081,1.243626,0.033597,1.277223,1.343781,0.074255,1.418035,1.314540,0.137456,1.451996,1.431757,0.274954,1.706711,4.699082,0.007352,4.706435
100063,0.453125,0.453125,0.515625,0.515625,0.500000,0.500000,0.421875,0.421875,0.546875,0.546875,0.562500,0.562500,1.300747,0.024641,1.325388,1.243636,0.034032,1.277668,1.343790,0.075343,1.419133,1.314553,0.139448,1.454001,1.431766,0.279921,1.711688,4.699093,0.007485,4.706578
100064,0.446154,0.446154,0.507692,0.507692,0.492308,0.492308,0.415385,0.415385,0.538462,0.538462,0.553846,0.553846,1.300768,0.024960,1.325728,1.243649,0.034535,1.278184,1.343799,0.076504,1.420303,1.314562,0.141669,1.456231,1.431775,0.284746,1.716521,4.699102,0.007597,4.706700
100065,0.454545,0.454545,0.515152,0.515152,0.500000,0.500000,0.409091,0.409091,0.545455,0.545455,0.545455,0.545455,1.300786,0.025256,1.326042,1.243658,0.034973,1.278632,1.343807,0.077663,1.421470,1.314569,0.143744,1.458313,1.431782,0.288986,1.720769,4.699112,0.007694,4.706805
100066,0.447761,0.447761,0.522388,0.522388,0.492537,0.492537,0.417910,0.417910,0.537313,0.537313,0.552239,0.552239,1.300808,0.025620,1.326428,1.243669,0.035484,1.279152,1.343816,0.078695,1.422511,1.314577,0.145853,1.460429,1.431791,0.293639,1.725430,4.699122,0.007816,4.706939
100067,0.455882,0.455882,0.529412,0.529412,0.500000,0.500000,0.426471,0.426471,0.544118,0.544118,0.558824,0.558824,1.300830,0.026125,1.326955,1.243678,0.036139,1.279817,1.343824,0.079875,1.423699,1.314584,0.148079,1.462663,1.431798,0.297788,1.729586,4.699131,0.007911,4.707042
100068,0.463768,0.463768,0.521739,0.521739,0.507246,0.507246,0.420290,0.420290,0.550725,0.550725,0.550725,0.550725,1.300853,0.026511,1.327364,1.243688,0.036631,1.280319,1.343832,0.081125,1.424957,1.314591,0.150052,1.464643,1.431805,0.302107,1.733912,4.699140,0.008010,4.707149
100069,0.471429,0.471429,0.528571,0.528571,0.514286,0.514286,0.428571,0.428571,0.557143,0.557143,0.557143,0.557143,1.300873,0.026846,1.327719,1.243698,0.037158,1.280855,1.343840,0.082200,1.426040,1.314599,0.152335,1.466934,1.431812,0.306419,1.738231,4.699148,0.008108,4.707256
100070,0.464789,0.464789,0.521127,0.521127,0.507042,0.507042,0.422535,0.422535,0.563380,0.563380,0.549296,0.549296,1.300894,0.027178,1.328071,1.243708,0.037707,1.281415,1.343849,0.083381,1.427229,1.314607,0.154500,1.469107,1.431822,0.310778,1.742600,4.699159,0.008231,4.707390
100071,0.472222,0.472222,0.527778,0.527778,0.513889,0.513889,0.416667,0.416667,0.569444,0.569444,0.555556,0.555556,1.300913,0.027571,1.328484,1.243718,0.038195,1.281913,1.343858,0.084549,1.428407,1.314616,0.156682,1.471298,1.431830,0.314992,1.746822,4.699169,0.008333,4.707501
100072,0.465753,0.465753,0.520548,0.520548,0.506849,0.506849,0.410959,0.410959,0.561644,0.561644,0.547945,0.547945,1.300932,0.027869,1.328801,1.243727,0.038635,1.282362,1.343866,0.085612,1.429478,1.314625,0.158641,1.473266,1.431837,0.318708,1.750546,4.699177,0.008435,4.707612
