# TEST CONFIGURATION BEGIN
# FileStream(filename='sea_a.csv', target_idx=-1, n_targets=1, cat_features=None)
# [ensemble 5] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=5, update_strategy='replace')
# [ensemble 10] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=10, update_strategy='replace')
# [ensemble 25] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=25, update_strategy='replace')
# [ensemble 50] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=50, update_strategy='replace')
# [ensemble 100] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=100, update_strategy='replace')
# [incremental] Adaptive4(learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['accuracy', 'running_time'], n_wait=200, output_file='ensemblesize_sea_a.txt', pretrain_size=100000, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_acc_[ensemble 5],current_acc_[ensemble 5],mean_acc_[ensemble 10],current_acc_[ensemble 10],mean_acc_[ensemble 25],current_acc_[ensemble 25],mean_acc_[ensemble 50],current_acc_[ensemble 50],mean_acc_[ensemble 100],current_acc_[ensemble 100],mean_acc_[incremental],current_acc_[incremental],training_time_[ensemble 5],testing_time_[ensemble 5],total_running_time_[ensemble 5],training_time_[ensemble 10],testing_time_[ensemble 10],total_running_time_[ensemble 10],training_time_[ensemble 25],testing_time_[ensemble 25],total_running_time_[ensemble 25],training_time_[ensemble 50],testing_time_[ensemble 50],total_running_time_[ensemble 50],training_time_[ensemble 100],testing_time_[ensemble 100],total_running_time_[ensemble 100],training_time_[incremental],testing_time_[incremental],total_running_time_[incremental]
100014,0.800000,0.800000,0.800000,0.800000,0.866667,0.866667,0.800000,0.800000,0.866667,0.866667,0.800000,0.800000,1.299337,0.012603,1.311939,1.292296,0.011701,1.303997,1.326994,0.029492,1.356486,1.360326,0.054405,1.414731,1.486859,0.111652,1.598511,4.529036,0.002335,4.531370
100015,0.812500,0.812500,0.812500,0.812500,0.875000,0.875000,0.812500,0.812500,0.875000,0.875000,0.812500,0.812500,1.299368,0.012973,1.312341,1.292310,0.012559,1.304869,1.327006,0.030647,1.357653,1.360338,0.056563,1.416900,1.486870,0.118527,1.605397,4.529048,0.002460,4.531508
100016,0.764706,0.764706,0.823529,0.823529,0.882353,0.882353,0.823529,0.823529,0.823529,0.823529,0.764706,0.764706,1.299398,0.013430,1.312828,1.292323,0.013404,1.305726,1.327017,0.031855,1.358872,1.360348,0.059196,1.419544,1.486880,0.125159,1.612040,4.529059,0.002580,4.531639
100017,0.777778,0.777778,0.833333,0.833333,0.888889,0.888889,0.833333,0.833333,0.833333,0.833333,0.777778,0.777778,1.299434,0.013733,1.313167,1.292337,0.013841,1.306178,1.327030,0.033739,1.360769,1.360359,0.064716,1.425076,1.486892,0.130732,1.617624,4.529073,0.002755,4.531828
100018,0.736842,0.736842,0.789474,0.789474,0.842105,0.842105,0.789474,0.789474,0.789474,0.789474,0.736842,0.736842,1.299467,0.014111,1.313578,1.292350,0.014538,1.306888,1.327041,0.034877,1.361918,1.360371,0.069301,1.429671,1.486903,0.135866,1.622769,4.529085,0.002881,4.531966
100019,0.750000,0.750000,0.800000,0.800000,0.850000,0.850000,0.800000,0.800000,0.800000,0.800000,0.750000,0.750000,1.299502,0.014774,1.314276,1.292363,0.015044,1.307407,1.327051,0.036311,1.363362,1.360381,0.071371,1.431751,1.486913,0.140344,1.627257,4.529098,0.003027,4.532125
100020,0.761905,0.761905,0.809524,0.809524,0.857143,0.857143,0.809524,0.809524,0.809524,0.809524,0.761905,0.761905,1.299537,0.015756,1.315293,1.292378,0.018009,1.310386,1.327064,0.037716,1.364780,1.360395,0.073904,1.434299,1.486925,0.147902,1.634828,4.529111,0.003243,4.532355
100021,0.772727,0.772727,0.818182,0.818182,0.863636,0.863636,0.818182,0.818182,0.818182,0.818182,0.772727,0.772727,1.299570,0.016462,1.316032,1.292392,0.018532,1.310924,1.327098,0.039490,1.366588,1.360412,0.077305,1.437717,1.486940,0.155237,1.642177,4.529126,0.003364,4.532490
100022,0.782609,0.782609,0.826087,0.826087,0.869565,0.869565,0.826087,0.826087,0.826087,0.826087,0.782609,0.782609,1.304127,0.016818,1.320945,1.303126,0.019189,1.322314,1.331548,0.040516,1.372065,1.368245,0.079622,1.447866,1.498337,0.161349,1.659685,4.605788,0.003505,4.609293
100023,0.791667,0.791667,0.833333,0.833333,0.875000,0.875000,0.833333,0.833333,0.833333,0.833333,0.791667,0.791667,1.304153,0.017657,1.321810,1.303145,0.020219,1.323364,1.331558,0.042442,1.374000,1.368254,0.082575,1.450829,1.498345,0.167722,1.666067,4.605799,0.003665,4.609464
