# TEST CONFIGURATION BEGIN
# FileStream(filename='hyper_f.csv', target_idx=-1, n_targets=1, cat_features=None)
# [ensemble 5] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=5, update_strategy='replace')
# [ensemble 10] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=10, update_strategy='replace')
# [ensemble 25] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=25, update_strategy='replace')
# [ensemble 50] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=50, update_strategy='replace')
# [ensemble 100] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=100, update_strategy='replace')
# [incremental] Adaptive4(learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['accuracy', 'running_time'], n_wait=200, output_file='mwindow_hype_f.txt', pretrain_size=100000, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_acc_[ensemble 5],current_acc_[ensemble 5],mean_acc_[ensemble 10],current_acc_[ensemble 10],mean_acc_[ensemble 25],current_acc_[ensemble 25],mean_acc_[ensemble 50],current_acc_[ensemble 50],mean_acc_[ensemble 100],current_acc_[ensemble 100],mean_acc_[incremental],current_acc_[incremental],training_time_[ensemble 5],testing_time_[ensemble 5],total_running_time_[ensemble 5],training_time_[ensemble 10],testing_time_[ensemble 10],total_running_time_[ensemble 10],training_time_[ensemble 25],testing_time_[ensemble 25],total_running_time_[ensemble 25],training_time_[ensemble 50],testing_time_[ensemble 50],total_running_time_[ensemble 50],training_time_[ensemble 100],testing_time_[ensemble 100],total_running_time_[ensemble 100],training_time_[incremental],testing_time_[incremental],total_running_time_[incremental]
100014,0.933333,0.933333,1.000000,1.000000,0.933333,0.933333,1.000000,1.000000,1.000000,1.000000,0.933333,0.933333,1.349707,0.006158,1.355865,1.380343,0.007722,1.388065,1.376019,0.016923,1.392942,1.439301,0.032748,1.472049,1.542695,0.062334,1.605029,4.848680,0.001582,4.850262
100015,0.937500,0.937500,1.000000,1.000000,0.937500,0.937500,1.000000,1.000000,1.000000,1.000000,0.937500,0.937500,1.349739,0.006457,1.356196,1.380360,0.008164,1.388524,1.376036,0.017922,1.393957,1.439317,0.034986,1.474303,1.542710,0.066626,1.609336,4.848697,0.001683,4.850379
100016,0.941176,0.941176,1.000000,1.000000,0.882353,0.882353,0.941176,0.941176,0.941176,0.941176,0.882353,0.882353,1.349766,0.006754,1.356520,1.380376,0.008607,1.388983,1.376071,0.018914,1.394985,1.439332,0.036913,1.476245,1.542723,0.070436,1.613159,4.848710,0.001778,4.850489
100017,0.888889,0.888889,0.944444,0.944444,0.833333,0.833333,0.888889,0.888889,0.888889,0.888889,0.833333,0.833333,1.349792,0.007042,1.356834,1.380391,0.009150,1.389541,1.376084,0.020049,1.396133,1.439345,0.039087,1.478432,1.542735,0.074440,1.617175,4.848724,0.001874,4.850597
100018,0.894737,0.894737,0.947368,0.947368,0.842105,0.842105,0.894737,0.894737,0.894737,0.894737,0.842105,0.842105,1.349818,0.007337,1.357155,1.380409,0.009585,1.389994,1.376098,0.021037,1.397135,1.439359,0.040987,1.480346,1.542749,0.078210,1.620958,4.848737,0.001973,4.850711
100019,0.900000,0.900000,0.950000,0.950000,0.850000,0.850000,0.900000,0.900000,0.900000,0.900000,0.850000,0.850000,1.349854,0.007788,1.357642,1.380427,0.010115,1.390542,1.376116,0.022042,1.398158,1.439379,0.042887,1.482266,1.542764,0.082135,1.624899,4.848755,0.002079,4.850835
100020,0.857143,0.857143,0.904762,0.904762,0.809524,0.809524,0.857143,0.857143,0.857143,0.857143,0.809524,0.809524,1.349883,0.008101,1.357984,1.380444,0.010600,1.391044,1.376132,0.023157,1.399289,1.439396,0.045043,1.484439,1.542779,0.086602,1.629381,4.848771,0.002186,4.850957
100021,0.863636,0.863636,0.909091,0.909091,0.818182,0.818182,0.863636,0.863636,0.863636,0.863636,0.818182,0.818182,1.349912,0.008417,1.358330,1.380462,0.011093,1.391555,1.376148,0.024278,1.400425,1.439412,0.047401,1.486813,1.542795,0.090837,1.633632,4.848786,0.002287,4.851073
100022,0.869565,0.869565,0.913043,0.913043,0.826087,0.826087,0.869565,0.869565,0.869565,0.869565,0.826087,0.826087,1.354443,0.008708,1.363151,1.385610,0.011561,1.397170,1.380632,0.025276,1.405907,1.443938,0.049314,1.493252,1.548210,0.094634,1.642844,4.918259,0.002383,4.920643
100023,0.875000,0.875000,0.916667,0.916667,0.833333,0.833333,0.875000,0.875000,0.875000,0.875000,0.833333,0.833333,1.354466,0.009365,1.363831,1.385620,0.012304,1.397923,1.380639,0.026651,1.407291,1.443945,0.051569,1.495514,1.548217,0.099591,1.647808,4.918268,0.002528,4.920796
100024,0.880000,0.880000,0.920000,0.920000,0.840000,0.840000,0.880000,0.880000,0.880000,0.880000,0.840000,0.840000,1.354485,0.009663,1.364147,1.385628,0.012742,1.398370,1.380646,0.027636,1.408281,1.443952,0.053468,1.497420,1.548223,0.103309,1.651532,4.918275,0.002615,4.920890
100025,0.884615,0.884615,0.923077,0.923077,0.846154,0.846154,0.884615,0.884615,0.884615,0.884615,0.846154,0.846154,1.354506,0.010116,1.364621,1.385639,0.013187,1.398826,1.380654,0.028624,1.409278,1.443961,0.055380,1.499341,1.548231,0.107429,1.655660,4.918284,0.002721,4.921006
100026,0.888889,0.888889,0.888889,0.888889,0.814815,0.814815,0.851852,0.851852,0.851852,0.851852,0.814815,0.814815,1.354524,0.010422,1.364946,1.385649,0.013618,1.399267,1.380663,0.029595,1.410258,1.443969,0.057465,1.501434,1.548238,0.111727,1.659965,4.918293,0.002824,4.921118
100027,0.892857,0.892857,0.892857,0.892857,0.821429,0.821429,0.857143,0.857143,0.857143,0.857143,0.821429,0.821429,1.354542,0.010705,1.365246,1.385659,0.014040,1.399699,1.380672,0.030560,1.411231,1.443977,0.059888,1.503865,1.548246,0.115972,1.664218,4.918302,0.002923,4.921226
100028,0.896552,0.896552,0.896552,0.896552,0.827586,0.827586,0.827586,0.827586,0.862069,0.862069,0.827586,0.827586,1.354559,0.011016,1.365575,1.385669,0.014530,1.400199,1.380680,0.031732,1.412412,1.443984,0.061999,1.505983,1.548253,0.120131,1.668384,4.918309,0.003039,4.921348
100029,0.900000,0.900000,0.900000,0.900000,0.833333,0.833333,0.833333,0.833333,0.866667,0.866667,0.833333,0.833333,1.354576,0.011316,1.365892,1.385679,0.014964,1.400643,1.380688,0.032723,1.413411,1.443992,0.063924,1.507916,1.548260,0.124085,1.672345,4.918318,0.003137,4.921455
100030,0.903226,0.903226,0.903226,0.903226,0.838710,0.838710,0.838710,0.838710,0.870968,0.870968,0.838710,0.838710,1.354592,0.011625,1.366217,1.385688,0.015447,1.401135,1.380696,0.033811,1.414507,1.444000,0.066043,1.510043,1.548268,0.128266,1.676534,4.918326,0.003247,4.921572
100031,0.906250,0.906250,0.906250,0.906250,0.843750,0.843750,0.843750,0.843750,0.875000,0.875000,0.843750,0.843750,1.354613,0.012117,1.366730,1.385701,0.015885,1.401586,1.380704,0.034810,1.415514,1.444011,0.068051,1.512063,1.548275,0.132024,1.680299,4.918335,0.003340,4.921675
100032,0.909091,0.909091,0.878788,0.878788,0.818182,0.818182,0.818182,0.818182,0.848485,0.848485,0.818182,0.818182,1.354631,0.012408,1.367038,1.385711,0.016433,1.402144,1.380711,0.035913,1.416624,1.444019,0.070166,1.514185,1.548282,0.136053,1.684335,4.918347,0.003437,4.921784
100033,0.911765,0.911765,0.882353,0.882353,0.823529,0.823529,0.823529,0.823529,0.852941,0.852941,0.823529,0.823529,1.354649,0.012699,1.367348,1.385721,0.016901,1.402622,1.380720,0.037138,1.417859,1.444027,0.072337,1.516364,1.548291,0.140302,1.688593,4.918356,0.003539,4.921895
100034,0.885714,0.885714,0.857143,0.857143,0.800000,0.800000,0.800000,0.800000,0.828571,0.828571,0.800000,0.800000,1.354670,0.012996,1.367666,1.385731,0.017345,1.403077,1.380728,0.038232,1.418960,1.444038,0.074873,1.518911,1.548298,0.144764,1.693061,4.918364,0.003650,4.922014
100035,0.888889,0.888889,0.861111,0.861111,0.805556,0.805556,0.805556,0.805556,0.833333,0.833333,0.805556,0.805556,1.354688,0.013287,1.367975,1.385740,0.017784,1.403524,1.380735,0.039211,1.419946,1.444045,0.076772,1.520817,1.548305,0.148514,1.696819,4.918372,0.003743,4.922115
100036,0.891892,0.891892,0.864865,0.864865,0.810811,0.810811,0.810811,0.810811,0.837838,0.837838,0.810811,0.810811,1.354703,0.013584,1.368288,1.385748,0.018220,1.403968,1.380743,0.040202,1.420944,1.444052,0.078673,1.522725,1.548312,0.152264,1.700575,4.918379,0.003826,4.922205
100037,0.894737,0.894737,0.868421,0.868421,0.815789,0.815789,0.815789,0.815789,0.842105,0.842105,0.815789,0.815789,1.354725,0.013994,1.368719,1.385758,0.018661,1.404419,1.380750,0.041211,1.421962,1.444059,0.080596,1.524655,1.548319,0.156075,1.704394,4.918388,0.003924,4.922312
100038,0.897436,0.897436,0.871795,0.871795,0.820513,0.820513,0.794872,0.794872,0.846154,0.846154,0.820513,0.820513,1.354745,0.014288,1.369033,1.385767,0.019096,1.404863,1.380758,0.042221,1.422979,1.444067,0.082495,1.526562,1.548327,0.160414,1.708741,4.918396,0.004034,4.922430
