# TEST CONFIGURATION BEGIN
# FileStream(filename='airlines.csv', target_idx=-1, n_targets=1, cat_features=None)
# [ensemble 0.01] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.01, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 0.01] Adaptive4(learning_rate=0.01, max_depth=6, max_window_size=1000, min_window_size=1)
# [ensemble 0.05] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.05, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 0.05] Adaptive4(learning_rate=0.05, max_depth=6, max_window_size=1000, min_window_size=1)
# [ensemble 0.1] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.1, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 0.1] Adaptive4(learning_rate=0.1, max_depth=6, max_window_size=1000, min_window_size=1)
# [ensemble 0.5] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.5, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 0.5] Adaptive4(learning_rate=0.5, max_depth=6, max_window_size=1000, min_window_size=1)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['accuracy', 'running_time'], n_wait=200, output_file='lrate_airlines.txt', pretrain_size=100000, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_acc_[ensemble 0.01],current_acc_[ensemble 0.01],mean_acc_[incremental 0.01],current_acc_[incremental 0.01],mean_acc_[ensemble 0.05],current_acc_[ensemble 0.05],mean_acc_[incremental 0.05],current_acc_[incremental 0.05],mean_acc_[ensemble 0.1],current_acc_[ensemble 0.1],mean_acc_[incremental 0.1],current_acc_[incremental 0.1],mean_acc_[ensemble 0.5],current_acc_[ensemble 0.5],mean_acc_[incremental 0.5],current_acc_[incremental 0.5],training_time_[ensemble 0.01],testing_time_[ensemble 0.01],total_running_time_[ensemble 0.01],training_time_[incremental 0.01],testing_time_[incremental 0.01],total_running_time_[incremental 0.01],training_time_[ensemble 0.05],testing_time_[ensemble 0.05],total_running_time_[ensemble 0.05],training_time_[incremental 0.05],testing_time_[incremental 0.05],total_running_time_[incremental 0.05],training_time_[ensemble 0.1],testing_time_[ensemble 0.1],total_running_time_[ensemble 0.1],training_time_[incremental 0.1],testing_time_[incremental 0.1],total_running_time_[incremental 0.1],training_time_[ensemble 0.5],testing_time_[ensemble 0.5],total_running_time_[ensemble 0.5],training_time_[incremental 0.5],testing_time_[incremental 0.5],total_running_time_[incremental 0.5]
100010,0.454545,0.454545,0.454545,0.454545,0.454545,0.454545,0.454545,0.454545,0.454545,0.454545,0.363636,0.363636,0.454545,0.454545,0.545455,0.545455,1.584999,0.016597,1.601597,4.987032,0.001233,4.988265,1.343933,0.015095,1.359029,4.831864,0.001210,4.833074,1.329820,0.014625,1.344445,4.733844,0.001178,4.735022,1.345670,0.014617,1.360287,4.624871,0.001173,4.626044
100011,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.416667,0.416667,0.416667,0.416667,0.583333,0.583333,1.585029,0.017989,1.603018,4.987049,0.001338,4.988387,1.343948,0.016389,1.360336,4.831878,0.001332,4.833210,1.329834,0.016005,1.345839,4.733857,0.001288,4.735145,1.345683,0.015927,1.361610,4.624884,0.001265,4.626149
100012,0.461538,0.461538,0.461538,0.461538,0.461538,0.461538,0.461538,0.461538,0.461538,0.461538,0.384615,0.384615,0.384615,0.384615,0.615385,0.615385,1.585055,0.019524,1.604578,4.987065,0.001431,4.988496,1.343962,0.017674,1.361636,4.831891,0.001433,4.833324,1.329851,0.017294,1.347145,4.733870,0.001393,4.735263,1.345695,0.017278,1.362973,4.624896,0.001367,4.626263
100013,0.428571,0.428571,0.428571,0.428571,0.428571,0.428571,0.428571,0.428571,0.428571,0.428571,0.357143,0.357143,0.428571,0.428571,0.571429,0.571429,1.585088,0.021433,1.606521,4.987083,0.001553,4.988635,1.343977,0.019117,1.363094,4.831905,0.001559,4.833464,1.329865,0.018622,1.348487,4.733884,0.001493,4.735377,1.345709,0.018563,1.364272,4.624910,0.001466,4.626376
100014,0.466667,0.466667,0.466667,0.466667,0.466667,0.466667,0.466667,0.466667,0.466667,0.466667,0.400000,0.400000,0.400000,0.400000,0.600000,0.600000,1.585113,0.022645,1.607758,4.987098,0.001651,4.988749,1.343989,0.020264,1.364254,4.831917,0.001648,4.833565,1.329877,0.019775,1.349651,4.733896,0.001608,4.735504,1.345720,0.019781,1.365501,4.624921,0.001562,4.626483
100015,0.437500,0.437500,0.437500,0.437500,0.437500,0.437500,0.437500,0.437500,0.437500,0.437500,0.375000,0.375000,0.375000,0.375000,0.625000,0.625000,1.585139,0.024017,1.609156,4.987114,0.001751,4.988865,1.344004,0.021567,1.365571,4.831931,0.001739,4.833670,1.329890,0.021245,1.351135,4.733909,0.001733,4.735642,1.345732,0.021094,1.366826,4.624937,0.001668,4.626605
100016,0.470588,0.470588,0.470588,0.470588,0.470588,0.470588,0.470588,0.470588,0.470588,0.470588,0.411765,0.411765,0.352941,0.352941,0.647059,0.647059,1.585162,0.025365,1.610527,4.987129,0.001848,4.988976,1.344017,0.022854,1.366871,4.831943,0.001831,4.833774,1.329903,0.022515,1.352418,4.733920,0.001827,4.735747,1.345744,0.022360,1.368104,4.624949,0.001758,4.626706
100017,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.444444,0.444444,0.333333,0.333333,0.666667,0.666667,1.585190,0.026723,1.611912,4.987144,0.001949,4.989093,1.344030,0.024048,1.368078,4.831955,0.001922,4.833877,1.329915,0.023704,1.353619,4.733932,0.001919,4.735851,1.345756,0.023720,1.369476,4.624961,0.001860,4.626821
100018,0.473684,0.473684,0.473684,0.473684,0.473684,0.473684,0.473684,0.473684,0.526316,0.526316,0.421053,0.421053,0.368421,0.368421,0.631579,0.631579,1.585212,0.027973,1.613185,4.987158,0.002045,4.989203,1.344043,0.025225,1.369268,4.831967,0.002011,4.833977,1.329926,0.024883,1.354809,4.733944,0.002008,4.735951,1.345767,0.024894,1.370660,4.624972,0.001946,4.626918
100019,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.550000,0.550000,0.450000,0.450000,0.350000,0.350000,0.650000,0.650000,1.585247,0.029516,1.614763,4.987175,0.002153,4.989327,1.344057,0.026801,1.370858,4.831983,0.002129,4.834112,1.329939,0.026087,1.356026,4.733956,0.002102,4.736058,1.345780,0.026087,1.371867,4.624984,0.002049,4.627033
100020,0.476190,0.476190,0.476190,0.476190,0.476190,0.476190,0.476190,0.476190,0.523810,0.523810,0.428571,0.428571,0.333333,0.333333,0.666667,0.666667,1.585275,0.030850,1.616125,4.987190,0.002260,4.989450,1.344071,0.028048,1.372119,4.832000,0.002230,4.834231,1.329952,0.027318,1.357271,4.733969,0.002197,4.736166,1.345792,0.027327,1.373120,4.624996,0.002149,4.627145
100021,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.545455,0.545455,0.454545,0.454545,0.318182,0.318182,0.636364,0.636364,1.585306,0.032231,1.617537,4.987207,0.002363,4.989570,1.344087,0.029414,1.373501,4.832018,0.002389,4.834407,1.329967,0.028784,1.358751,4.733982,0.002298,4.736280,1.345806,0.028658,1.374464,4.625009,0.002245,4.627254
100022,0.478261,0.478261,0.478261,0.478261,0.478261,0.478261,0.478261,0.478261,0.521739,0.521739,0.434783,0.434783,0.304348,0.304348,0.608696,0.608696,1.590317,0.033478,1.623796,5.050528,0.002460,5.052987,1.349041,0.030601,1.379642,4.894127,0.002477,4.896604,1.334761,0.029965,1.364727,4.796805,0.002391,4.799195,1.372561,0.029828,1.402390,4.691331,0.002326,4.693658
100023,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.541667,0.541667,0.458333,0.458333,0.333333,0.333333,0.625000,0.625000,1.590337,0.035268,1.625605,5.050538,0.002594,5.053132,1.349050,0.032251,1.381301,4.894136,0.002608,4.896743,1.334769,0.031646,1.366415,4.796811,0.002519,4.799330,1.372568,0.031484,1.404052,4.691338,0.002452,4.693790
100024,0.480000,0.480000,0.520000,0.520000,0.480000,0.480000,0.520000,0.520000,0.520000,0.520000,0.440000,0.440000,0.360000,0.360000,0.640000,0.640000,1.590357,0.036827,1.627184,5.050548,0.002717,5.053265,1.349058,0.033614,1.382672,4.894143,0.002719,4.896863,1.334776,0.032987,1.367763,4.796819,0.002620,4.799439,1.372576,0.032814,1.405390,4.691346,0.002563,4.693909
100025,0.500000,0.500000,0.538462,0.538462,0.500000,0.500000,0.538462,0.538462,0.538462,0.538462,0.461538,0.461538,0.346154,0.346154,0.653846,0.653846,1.590381,0.038391,1.628772,5.050560,0.002827,5.053387,1.349071,0.034798,1.383869,4.894152,0.002816,4.896968,1.334784,0.034155,1.368939,4.796827,0.002715,4.799542,1.372584,0.033984,1.406567,4.691354,0.002713,4.694067
100026,0.518519,0.518519,0.518519,0.518519,0.518519,0.518519,0.518519,0.518519,0.555556,0.555556,0.444444,0.444444,0.333333,0.333333,0.629630,0.629630,1.590397,0.039639,1.630036,5.050570,0.002922,5.053492,1.349078,0.035989,1.385067,4.894159,0.002912,4.897071,1.334791,0.035347,1.370138,4.796833,0.002806,4.799639,1.372590,0.035168,1.407758,4.691361,0.002797,4.694158
100027,0.535714,0.535714,0.500000,0.500000,0.535714,0.535714,0.500000,0.500000,0.571429,0.571429,0.428571,0.428571,0.321429,0.321429,0.607143,0.607143,1.590414,0.040979,1.631393,5.050579,0.003020,5.053599,1.349086,0.037149,1.386234,4.894166,0.003002,4.897168,1.334797,0.036493,1.371291,4.796840,0.002890,4.799731,1.372597,0.036314,1.408911,4.691367,0.002880,4.694247
100028,0.551724,0.551724,0.517241,0.517241,0.551724,0.551724,0.517241,0.517241,0.586207,0.586207,0.448276,0.448276,0.310345,0.310345,0.620690,0.620690,1.590432,0.042513,1.632945,5.050590,0.003121,5.053710,1.349094,0.038462,1.387556,4.894174,0.003093,4.897267,1.334805,0.037802,1.372607,4.796848,0.002982,4.799830,1.372604,0.037613,1.410218,4.691375,0.002974,4.694349
100029,0.533333,0.533333,0.500000,0.500000,0.533333,0.533333,0.500000,0.500000,0.566667,0.566667,0.433333,0.433333,0.300000,0.300000,0.600000,0.600000,1.590449,0.043787,1.634236,5.050600,0.003210,5.053810,1.349103,0.039912,1.389015,4.894182,0.003194,4.897376,1.334812,0.039109,1.373920,4.796855,0.003074,4.799928,1.372611,0.038892,1.411503,4.691382,0.003066,4.694448
100030,0.516129,0.516129,0.516129,0.516129,0.516129,0.516129,0.516129,0.516129,0.548387,0.548387,0.451613,0.451613,0.322581,0.322581,0.612903,0.612903,1.590465,0.045000,1.635465,5.050610,0.003300,5.053909,1.349111,0.041304,1.390415,4.894194,0.003303,4.897497,1.334820,0.040404,1.375224,4.796863,0.003166,4.800029,1.372619,0.040177,1.412797,4.691389,0.003173,4.694562
100031,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.531250,0.531250,0.437500,0.437500,0.343750,0.343750,0.593750,0.593750,1.590488,0.047324,1.637812,5.050621,0.003470,5.054091,1.349118,0.042879,1.391998,4.894201,0.003457,4.897659,1.334828,0.042201,1.377029,4.796870,0.003276,4.800146,1.372626,0.041756,1.414382,4.691396,0.003317,4.694713
100032,0.484848,0.484848,0.484848,0.484848,0.484848,0.484848,0.484848,0.484848,0.515152,0.515152,0.424242,0.424242,0.333333,0.333333,0.575758,0.575758,1.590510,0.049085,1.639594,5.050632,0.003592,5.054224,1.349128,0.044303,1.393431,4.894210,0.003569,4.897779,1.334836,0.043589,1.378425,4.796878,0.003384,4.800262,1.372634,0.043300,1.415933,4.691404,0.003430,4.694834
100033,0.500000,0.500000,0.470588,0.470588,0.500000,0.500000,0.470588,0.470588,0.529412,0.529412,0.411765,0.411765,0.352941,0.352941,0.558824,0.558824,1.590531,0.050711,1.641241,5.050644,0.003710,5.054354,1.349135,0.045761,1.394897,4.894222,0.003679,4.897901,1.334843,0.044948,1.379791,4.796885,0.003488,4.800373,1.372641,0.044607,1.417248,4.691412,0.003558,4.694970
100034,0.485714,0.485714,0.485714,0.485714,0.485714,0.485714,0.485714,0.485714,0.514286,0.514286,0.428571,0.428571,0.371429,0.371429,0.571429,0.571429,1.590554,0.052414,1.642968,5.050655,0.003834,5.054489,1.349145,0.048323,1.397468,4.894230,0.004125,4.898355,1.334853,0.046763,1.381616,4.796893,0.003609,4.800502,1.372649,0.046046,1.418694,4.691420,0.003675,4.695094
100035,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.527778,0.527778,0.444444,0.444444,0.388889,0.388889,0.583333,0.583333,1.590576,0.053791,1.644366,5.050667,0.003940,5.054607,1.349154,0.049564,1.398718,4.894239,0.004221,4.898460,1.334862,0.048240,1.383102,4.796902,0.003736,4.800638,1.372657,0.047568,1.420225,4.691429,0.003833,4.695262
100036,0.513514,0.513514,0.486486,0.486486,0.513514,0.513514,0.486486,0.486486,0.540541,0.540541,0.432432,0.432432,0.405405,0.405405,0.567568,0.567568,1.590598,0.055760,1.646358,5.050678,0.004063,5.054741,1.349163,0.050845,1.400008,4.894247,0.004383,4.898630,1.334870,0.050471,1.385341,4.796910,0.003888,4.800798,1.372664,0.049530,1.422194,4.691436,0.003954,4.695390
100037,0.526316,0.526316,0.473684,0.473684,0.526316,0.526316,0.473684,0.473684,0.552632,0.552632,0.421053,0.421053,0.421053,0.421053,0.552632,0.552632,1.590619,0.057295,1.647914,5.050689,0.004172,5.054861,1.349171,0.052048,1.401220,4.894255,0.004481,4.898735,1.334877,0.051648,1.386525,4.796917,0.003981,4.800897,1.372671,0.050703,1.423375,4.691444,0.004042,4.695485
100038,0.512821,0.512821,0.461538,0.461538,0.512821,0.512821,0.461538,0.461538,0.538462,0.538462,0.410256,0.410256,0.410256,0.410256,0.538462,0.538462,1.590637,0.058685,1.649322,5.050699,0.004274,5.054973,1.349179,0.053482,1.402661,4.894262,0.004582,4.898843,1.334884,0.052833,1.387717,4.796924,0.004072,4.800996,1.372678,0.051872,1.424550,4.691451,0.004133,4.695584
100039,0.500000,0.500000,0.475000,0.475000,0.500000,0.500000,0.475000,0.475000,0.525000,0.525000,0.425000,0.425000,0.425000,0.425000,0.550000,0.550000,1.590655,0.060105,1.650759,5.050711,0.004378,5.055090,1.349187,0.054814,1.404001,4.894270,0.004683,4.898953,1.334892,0.054156,1.389048,4.796931,0.004170,4.801101,1.372685,0.053199,1.425884,4.691458,0.004231,4.695690
100040,0.487805,0.487805,0.463415,0.463415,0.487805,0.487805,0.463415,0.463415,0.536585,0.536585,0.414634,0.414634,0.439024,0.439024,0.536585,0.536585,1.590674,0.061457,1.652130,5.050721,0.004481,5.055203,1.349195,0.056037,1.405232,4.894277,0.004781,4.899057,1.334899,0.055350,1.390249,4.796938,0.004263,4.801201,1.372692,0.054386,1.427077,4.691466,0.004324,4.695789
100041,0.500000,0.500000,0.476190,0.476190,0.500000,0.500000,0.476190,0.476190,0.547619,0.547619,0.428571,0.428571,0.428571,0.428571,0.547619,0.547619,1.590691,0.062690,1.653380,5.050730,0.004571,5.055301,1.349202,0.057369,1.406571,4.894284,0.004874,4.899158,1.334905,0.056521,1.391426,4.796945,0.004348,4.801293,1.372698,0.055553,1.428252,4.691472,0.004415,4.695887
