# TEST CONFIGURATION BEGIN
# FileStream(filename='hyper_f.csv', target_idx=-1, n_targets=1, cat_features=None)
# [incremental] Adaptive4(learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1)
# [adwin] Adaptive5(learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['accuracy', 'running_time'], n_wait=200, output_file='ensemblesize_sea_a.txt', pretrain_size=100000, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_acc_[incremental],current_acc_[incremental],mean_acc_[adwin],current_acc_[adwin],training_time_[incremental],testing_time_[incremental],total_running_time_[incremental],training_time_[adwin],testing_time_[adwin],total_running_time_[adwin]
100053,0.851852,0.851852,0.833333,0.833333,22.855232,0.007941,22.863173,19.696121,0.005490,19.701611
100054,0.836364,0.836364,0.818182,0.818182,22.855250,0.008065,22.863314,19.696267,0.005585,19.701852
100055,0.839286,0.839286,0.821429,0.821429,22.855276,0.008304,22.863579,19.696449,0.005709,19.702158
100056,0.842105,0.842105,0.824561,0.824561,22.855294,0.008424,22.863718,19.696579,0.005800,19.702379
100057,0.827586,0.827586,0.810345,0.810345,22.855311,0.008531,22.863842,19.696714,0.005887,19.702601
100058,0.830508,0.830508,0.813559,0.813559,22.855327,0.008637,22.863964,19.696835,0.005977,19.702812
100059,0.833333,0.833333,0.816667,0.816667,22.855344,0.008740,22.864084,19.697018,0.006064,19.703082
100060,0.836066,0.836066,0.819672,0.819672,22.855360,0.008842,22.864203,19.697130,0.006148,19.703279
100061,0.838710,0.838710,0.822581,0.822581,22.855384,0.009060,22.864444,19.697320,0.006282,19.703602
100062,0.841270,0.841270,0.825397,0.825397,22.855401,0.009173,22.864574,19.697440,0.006369,19.703809
100063,0.843750,0.843750,0.828125,0.828125,22.855418,0.009279,22.864697,19.698673,0.006452,19.705126
100064,0.846154,0.846154,0.830769,0.830769,22.855438,0.009392,22.864829,19.698790,0.006539,19.705329
100065,0.848485,0.848485,0.833333,0.833333,22.855455,0.009494,22.864948,19.698920,0.006621,19.705541
100066,0.850746,0.850746,0.835821,0.835821,22.855471,0.009596,22.865067,19.699034,0.006704,19.705738
100067,0.852941,0.852941,0.838235,0.838235,22.855497,0.009896,22.865393,19.699301,0.006851,19.706151
100068,0.855072,0.855072,0.840580,0.840580,22.855517,0.010039,22.865556,19.699434,0.006953,19.706387
100069,0.857143,0.857143,0.842857,0.842857,22.855535,0.010154,22.865689,19.699572,0.007042,19.706614
100070,0.859155,0.859155,0.845070,0.845070,22.855552,0.010268,22.865819,19.699726,0.007131,19.706857
100071,0.861111,0.861111,0.847222,0.847222,22.855570,0.010380,22.865950,19.699885,0.007221,19.707106
100072,0.863014,0.863014,0.849315,0.849315,22.855586,0.010487,22.866073,19.700003,0.007312,19.707315
100073,0.864865,0.864865,0.851351,0.851351,22.855609,0.010724,22.866333,19.700195,0.007432,19.707627
100074,0.866667,0.866667,0.853333,0.853333,22.855628,0.010871,22.866499,19.700326,0.007538,19.707864
100075,0.855263,0.855263,0.842105,0.842105,22.855645,0.010984,22.866629,19.700493,0.007622,19.708116
100076,0.857143,0.857143,0.844156,0.844156,22.855662,0.011086,22.866749,19.700610,0.007705,19.708316
100077,0.858974,0.858974,0.846154,0.846154,22.855679,0.011189,22.866868,19.700739,0.007789,19.708528
100078,0.860759,0.860759,0.848101,0.848101,22.855695,0.011291,22.866986,19.700852,0.007871,19.708723
100079,0.862500,0.862500,0.850000,0.850000,22.855719,0.011538,22.867257,19.701069,0.008036,19.709105
100080,0.864198,0.864198,0.851852,0.851852,22.855738,0.011659,22.867397,19.701198,0.008132,19.709330
100081,0.865854,0.865854,0.853659,0.853659,22.855756,0.011773,22.867528,19.701362,0.008218,19.709580
100082,0.855422,0.855422,0.843373,0.843373,22.855774,0.011880,22.867654,19.701484,0.008307,19.709792
100083,0.857143,0.857143,0.845238,0.845238,22.855791,0.011983,22.867774,19.701638,0.008391,19.710029
100084,0.858824,0.858824,0.835294,0.835294,22.855808,0.012086,22.867894,19.701754,0.008475,19.710229
100085,0.860465,0.860465,0.837209,0.837209,22.855832,0.012300,22.868132,19.701917,0.008587,19.710504
100086,0.862069,0.862069,0.839080,0.839080,22.855850,0.012413,22.868264,19.702038,0.008675,19.710713
